art;pr
8.8909;3.66
8.9296;57.339999999999996
250610-П29;10.98
252005-П29;9.76
5340.1002031-10;557.54
535.1002031;545.34
5340.1002266;163.48
5340.1003010-10;173102.13999999998
5340.1003010-20;173643.82
5340.1003010-40;173775.58
53443.1003010;172820.32
535.1003010;184254.16
536.1003010-10;209249.52
536.1003010-20;211794.44
536.1003010-50;213406.06
537.1003010;227899.66
5340.1003012-10;146209.68
5340.1003012-40;146448.8
536.1003012-10;171617.4
536.1003012-50;172578.76
537.1003012;177056.16
5340.1003206-10;3700.2599999999998
535.1003206;2429.02
53443.1003206;4161.42
536.1003206-10;5341.16
537.1003206;2980.46
5340.1003260;15642.84
536.1003260;18493.98
5340.1004045-002;11427.74
535.1004045;10010.1
5340.1004062;311.09999999999997
5340.1005010;87508.16
535.1005010;57142.36
536.1005010;115580.36
537.1005010;93061.59999999999
5340.1005033-02;613.66
5340.1005157-10;289.14
5340.1005127-01;344.04
5340.1005128;135.42
5340.1005161-02;772.26
5340.1005194;678.3199999999999
536.1005678-01;8037.36
5340.1006010;40566.22
536.1006010;41138.4
5340.1007010;1799.5
5340.1007012;2641.2999999999997
5340.1007020;131.76
5340.1007020-04;263.52
5340.1007025;20.74
5340.1007028;29.28
5340.1007090-01;29522.78
536.1007090-01;37088
5340.1007174-01;755.18
5340.1007180-01;3772.24
5340.1007212;712.48
5340.1007262;192.76
5340.1008022;3435.52
5340.1008022-60;5638.84
53403.1008022-20;16108.88
5347.1008022;4311.48
5347.1008022-10;41937.5
5347.1008022-20;5264.3
5347.1008022-30;4945.88
5347.1008022-50;20538.7
5347.1008022-70;5638.84
536.1008022;1651.8799999999999
536.1008022-10;16313.84
5340.1008027-02;162.26
5340.1008027-03;162.26
53403.1009047;1816.58
5342.1009047-03;1593.32
53435.1009047-01;767.38
536.1009047-03;1865.3799999999999
5362.1009047;1821.46
5340.1009294;40.26
5340.1011014-02;12557.46
536.1011014-02;12799.02
5340.1011048-01;2680.34
5341.1011048;2575.42
5340.1011055-10;860.1
5340.1011057-10;101.25999999999999
5340.1011296;43.92
5341.1011398;3574.6
5347.1011398;4532.3
536.1011398;1949.56
5362.1011398-10;1983.72
5341.1012075-04;1034.56
5340.1012075-04;742.98
5340.1012100;111.02
5340.1013397;84.17999999999999
536.1013650-02;16462.68
536.1013650-04;7611.58
5340.1013650-02;11176.42
5340.1013650-04;6093.9
5340.1013682-10;383.08
5362.1013682;1540.86
5340.1013762-10;58.56
5340.1104378;924.76
5340.1104378-10;1473.76
5340.1104378-20;4043.08
5340.1104378-40;1690.92
53443.1104378;1873.92
53443.1104378-10;2034.96
53446.1104378;1892.22
53491.1104378-20;1584.78
536.1104378;1054.08
536.1104378-10;2144.7599999999998
536.1104378-20;2342.4
5340.1104382-10;1699.46
53443.1104382;1326.1399999999999
536.1104382-10;1688.48
5340.1104410;2156.96
53404.1104410;2338.74
53404.1104410-10;2938.98
53404.1104410-30;2226.5
53443.1104410;1417.6399999999999
53446.1104410;1564.04
5347.1104410;2386.32
536.1104410;2064.24
5340.1104416;1548.18
53443.1104416;2200.88
536.1104416;1368.84
5340.1104422;1382.26
53443.1104422;1138.26
53443.1104422-10;1616.5
53446.1104422;1477.42
5347.1104422;1873.92
53465.1104422-01;2171.6
53465.1104426-01;2177.7
536.1104422;1489.62
5340.1104426;1489.62
53404.1104426;2155.74
53443.1104426;956.48
53443.1104426-10;1554.28
53446.1104426;1460.34
5347.1104426;2030.08
536.1104426;1440.82
53604.1104426;2404.62
53604.1104426-10;2205.7599999999998
5340.1105010-14;11076.38
5340.1105010-021;11076.38
5340.1105010-06;8819.38
5340.1105075-02;1110.2
5340.1105075-11;1110.2
5340.1105075-14;1576.24
5340.1111008;102196.95999999999
53443.1111006-20;104755.3
53445.1111006;104516.18
53491.1111006;104516.18
536.1111006-20;107577.16
53676.1111006;124078.87999999999
5340.1112010-20;11590
5340.1112010-21;13420
53404.1112010;22143
5340.1112011;311.09999999999997
5340.1112011-01;209.84
5340.1112011-02;145.18
5340.1112150-01;3929.62
5340.1112150-20;3503.84
5340.1112303-20;19694.46
53404.1112303;131648.98
536.1112303;10380.98
536.1112303-20;23084.84
536.1112552;620.98
53604.1112303-10;176918.3
5340.1115026;117.12
5340.1117010-10;3121.98
5340.1117010-20;5480.24
5344.1117010-20;5208.18
53443.1117010;3076.84
53443.1117010-20;5685.2
5347.1117010;2547.36
536.1117010-20;7977.58
53606.1117010-20;10249.22
5340.1117075-04;1155.34
536.1117075-04;705.16
536.1117152;746.64
5340.1117300;3983.2999999999997
5340.1117302;3440.4
5340.1118010-01;29854.62
53402.1118010-01;29854.62
53403.1118010;140938.06
53404.1118010-01;76115.8
53404.1118010-11;76115.8
53414.1118010;51449.84
53423.1118010-01;25401.62
53423.1118010-11;25401.62
53423.1118010-20;25401.62
53423.1118010-41;25401.62
53423.1118010-50;25401.62
53442.1118010-01;26742.399999999998
53442.1118010-11;26742.399999999998
53443.1118010-01;26742.399999999998
53443.1118010-11;26742.399999999998
53443.1118010-20;26742.399999999998
53443.1118010-30;26742.399999999998
53443.1118010-41;26742.399999999998
53443.1118010-50;26742.399999999998
5345.1118010;34508.92
5347.1118010-01;31932.28
5347.1118010-10;33269.4
5347.1118010-30;34508.92
5348.1118010-41;59329.82
53491.1118010-20;59329.82
53491.1118010-01;59329.82
5351.1118010-01;49131.84
5351.1118010-11;49131.84
5351.1118010-21;49131.84
53514.1118010;59329.82
53514.1118010-10;59329.82
536.1118010-01;33620.76
53602.1118010-11;33620.76
53603.1118010-01;33620.76
53645.1118010;33620.76
53646.1118010;33620.76
5367.1118010;50913.04
53675.1118010;34660.2
53682.1118010;34660.2
537.1118010-01;35542.26
537.1118010-11;35542.26
53714.1118010;59329.82
5340.1118188-10;270.84
536.1118188;307.44
5340.1118158;74.42
536.1118158;74.42
5340.1118258;75.64
536.1118258-10;75.64
5340.1118325;58.56
53403.1118325-10;14.64
5340.1118340-10;1827.56
5344.1118340;927.1999999999999
5344.1118340-10;1023.5799999999999
53443.1118340;8588.8
5347.1118340;1503.04
536.1118340-10;1665.3
