Номенклатура.Артикул;Остаток
33.1111282-01;5
33.1112110-12;316
33.1112110-220;455
33.1112110-230;138
33.1112110-250;133
33.1121010-01;2
332.110601;34
335.1112110-120;61
335.1112110-140;24
335.1112110-50;12
335.1112110-70;62
337.1106010-10;12
37.114101;38
403.3847;20
423.1110860-10;1
423.1110860-20;2
44.1106010-01;3
60.1111020-30;1
60.1111074-31;373
60.1111282-01;92
60.1111286-10;2
60.1121010-12;1
60.1121010-21;1
7511.100702;90
771.1111150-10;1
80.1111005-30;1
805.1111007-30;1
807.1121010-13;1
840.1121010-20;1
861.110601;22
90.1111008-20;1
90.1121010-13;1
90.1121010-22;2
901.111086;3
901.1111008-20;3
