art;pr
236-1002286;41.48
236-1002286-А;53.68
850.1002292;217.16
238-1002310-Ж;26494.739999999998
238АК-1002310-А3;31108.78
240-1002310-А;48076.54
240Н-1002310;71206.52
658.1002310-20;31964
7511.1002310-03;31821.26
840.1002310-50;97119.31999999999
840.1002310-60;98555.26
840.1002310-61;98762.66
840.1002310-80;96852.14
840.1002310-90;97695.16
8502.1002310;101385.66
238-1002311-А3;21447.6
238-1002311-Б3;21611.079999999998
238-1002311-В3;21529.34
238АК-1002311-А3;21851.42
658.1002311-20;22628.56
658.1002311-40;22573.66
658.1002311-60;23061.66
7511.1002311-02;22768.86
236-1002315;233.01999999999998
240-1002317;57.339999999999996
236-1002318;183
238-1002318;184.22
240-1002318;184.22
238-1002320;150.06
236-1002333;39.04
240-1002333;78.08
840.1002350;1098
238Н-1002402;162.26
238Н-1002402-Б;191.54
240-1002402;184.22
236-1002404;129.32
840.1002404;117.12
840.1002432;1233.42
850.1002448;101.25999999999999
240-1002503-Б2;763.72
236-1003004;73971.04
236-1003009;79146.28
236Д-1003009;80272.34
238-1003009;66364.34
238Д-1003009;84495.98
236-1003010-Ж2;74745.74
236-1003013-Ж4;71422.45999999999
236Д-1003013-А;72996.26
238-1003010-Ж2;64193.96
238-1003013-Ж3;38572.74
238Д-1003013-А;77816.48
240-1003010-Е2;42917.159999999996
240-1003013-Е2;31515.04
656.1003009;86457.74
658.1003009;95325.92
656.1003013-30;80990.92
658.1003013-30;85961.2
840.1003010-20;71077.2
85504.1003012-30;69414.34
85504.1003010-40;73863.68
236-1003016-Б;379.42
240-1003016-Г;555.1
7511.1003016-20;469.7
840.1003016-01;1534.76
845.1003016;1474.98
855.1003016;453.84
855.1003017;2427.7999999999997
240-1003017;254.98
240-1003017-В;608.78
7511.1003017-10;359.9
240-1003019;618.54
240-1003031;738.1
236-1003108-Б;527.04
7511.1003108;536.8
236-1003110-В4;1223.66
7511.1003110;1207.8
236-1003112-В;1196.82
236-1003112-Г;1116.3
7511.1003112;1104.1
236-1003113;262.3
236-1003206-А3;1205.36
238-1003206-А5;1293.2
236Д-1003210;2333.86
238Д-1003210;2888.96
240-1003210-А3;1047.98
240-1003210-А5;1047.98
236Д-1003212;843.02
238Д-1003212;854
7511.1003212-20;181.78
7511.1003212-30;189.1
7511.1003212-40;191.54
840.1003212-10;179.34
840.1003212-20;200.07999999999998
840.1003212-30;211.06
240-1003215;174.46
240-1003217;174.46
240-1003218;212.28
236-1003244-А;3993.06
238-1003244-А;4393.22
236-1003245-А2;3416
238-1003245-А2;4876.34
236-1003246;4074.7999999999997
238-1003246;5014.2
6582.1003246;5043.48
236-1003256-Б2;5138.64
238-1003256-Б3;5154.5
238-1003256-В3;5267.96
6562.1003256;4660.4
238-1003257;4872.68
6582.1003257;5008.099999999999
238-1003260-Б;2326.54
840.1003260;2709.62
238-1003261-Г2;3217.14
840.1003261;2981.68
6582.1003262;3480.66
238-1003264-Б;927.1999999999999
240-1003264-Б2;2965.8199999999997
840.1003264;3017.06
7511.1003265;3175.66
236-1003272;466.03999999999996
236-1003290-В;3591.68
236-1003290-Г;3448.94
236-1003290-Д;3263.5
238-1003290-В;4499.36
238-1003290-Д;4489.599999999999
236-1003291-В;3279.36
236-1003291-Г;3265.94
238-1003291-В;3381.84
240-1003318-Б;48.8
236-1003330;622.1999999999999
240-1003330;797.88
240-1003336-В2;899.14
7511.1003436;95.16
840.1003442;63.44
240-1003470-Б;485.56
240-1003473-Б;1221.22
240-1003474;2009.34
240-1003475;4526.2
240-1003476;52.46
240-1003477;40.26
238-1003488;52.46
236-1004005;8220.36
236-1004005-Б2;8220.36
236-1004005-В;8220.36
238Б-1004005;9272
238Б-1004005-Б;9272
238НБ-1004005-А4;7866.5599999999995
240-1004005-А;8415.56
240Н-1004005-А;8415.56
240Н-1004005-А2;9453.78
658.1004005;9961.3
658.1004005-10;9961.3
7511.1004005-01;8914.539999999999
7511.1004005-10;8914.539999999999
7511.1004005-40;8914.539999999999
7511.1004005-50;8914.539999999999
7511.1004005-60;8914.539999999999
7511.1004005-70;8914.539999999999
236-1004006;9207.34
236-1004006-Б2;9207.34
236-1004006-В;9207.34
238Б-1004006;10211.4
238Б-1004006-Б;10211.4
238НБ-1004006-А4;8813.28
240-1004006-А;9353.74
240Н-1004006-А;9353.74
240Н-1004006-А2;10587.16
658.1004006;10971.46
658.1004006-10;10971.46
658.1004006-20;10971.46
7511.1004006-01;9889.32
7511.1004006-10;9889.32
7511.1004006-40;9889.32
7511.1004006-50;9889.32
7511.1004006-60;9889.32
7511.1004006-70;9889.32
236-1004008-Б;6752.7
236-1004008-В;6752.7
236-1004008-Г;6752.7
238Б-1004008;7956.84
238Б-1004008-Б;7956.84
238НБ-1004008;6459.9
240-1004008;6869.82
240П-1004008-Б;6869.82
240П-1004008-В;7961.72
658.1004008-10;8176.44
7511.1004008-01;7538.38
7511.1004008-10;7538.38
7511.1004008-40;7538.38
7511.1004008-50;7538.38
7511.1004008-60;7538.38
7511.1004008-70;7538.38
236-1004022-Б;239.12
7511.1004022;273.28
8401.1004022;206.18
236-1004045-Б3;7101.62
