Номенклатура;Остатки
8424.3902150 РЭ Руководство по эксплуатации;2
8431.1022840 Трубка топливная от клапана к свечам (ТМЗ);
8431.1104410 Трубка подвод. ТПН;1
8431.1104421 Штуцер (дв.ТМЗ-8431,8435,8481-05);
8431.1104422 Штуцер (дв.ТМЗ-8431,8435,8481-05);
8431.1115030 Патрубок соединительный;1
8431.1115120 Патрубок компрессора;1
8431.1115150 Труба левая;
8431.1115154 Прокладка;
8431.1115182 Кронштейн;
8431.1115182-11 Кронштейн;1
8435.1008042 Труба правая;2
8435.1008043 Труба левая;2
8435.1111538-10 Трубка подвода (камоцци);1
8435.1115040-01 Рукав с кольцами в сборе (силикон);
8435.1115182-10 Кронштейн;1
8435.1118220 Труба подвода масла;1
8435.1118230 Трубка слива масла;1
846.1006015 Вал распределительный;
846.1029401 Шестерня ведущая (ТМЗ);1
8463.1003264 Крышка головки;2
8463.1014100-50 Установка сапуна;5
8463.1014100-60 Установка сапуна;2
8463.1014120-20 Сапун с проставкой;2
"847.1004008-05 Комплект: гильза-поршень (ТМЗ, поршень пр-ва ""Federal-Mogul"")";
847.1104433 Болт пустотелый М16х60;10
8481.1003264-10 Крышка головки (лого ТМЗ);8
8481.1005061-40 Шкив коленвала;
8481.1005115 Маховик (ТМЗ);
8481.1011014 Насос масляный;1
8481.1012015-02 Корпус масляного фильтра (ТМЗ) (в сборе);5
8481.1104308-8 Комплект трубок ВД ТМЗ (гнутые, 8шт.);2
8481.1104620 Трубка дренажная (аналог);6
8481.1104620 Трубка дренажная (ТМЗ);7
8481.1104913-40 Кольцо уплотнительное 2651 М14-2 (8.9209) (CAMOZZI);52
8481.1104914-40 Кольцо уплотнительное 2651 М16-2 (CAMOZZI);
8481.1115120 Патрубок со шпильками в сборе;1
8481.1115145-01 Труба правая;1
8481.1115256 Проставка;2
8481.1117007 Комплект замены топливопроводов ФТОТ 840.1117010 (5 турбок);4
8481.1117007-10 Комплект замены топливопроводов ФТОТ 8481.1117010 (4 трубки);3
8481.1117020-20 Корпус топливного фильтра (в сборе);3
8481.1117022 Корпус топливного фильтра (голый);1
8481.1118208 Патрубок;
8481.1118208-10 Патрубок;1
8481.1118230 Трубка слива масла;7
8481.1118248 Патрубок сливной;
8481.1170002 Р/к заглушек ОНВ ТМЗ (резина);11
8481.1170003 Р/к охладителя наддувочного воздуха ТМЗ (паронит, РТИ);4
8481.1170200 Охладитель;
8481.1170200 Охладитель (ТМЗ);
8481.1307010-13 Насос водяной (ТМЗ) (усил. подш., замена 8481.1307010-03);1
8481.1307155 Натяжное устройство;1
8481.1308012 Крыльчатка вентилятора дв.ТМЗ, MS9, 660 мм (черная);5
8481.1308012 Крыльчатка вентилятора дв.ТМЗ, MTD 660912769 (белая);5
8481.1308012 Крыльчатка вентилятора дв.ТМЗ, Z660W-9L (Китай);
8481.1308653 Проставка (ТМЗ);
8481.1318006 Муфта вязкостная с крыльчаткой в сб. YM/VC-8481-V1 (660 mm);2
8481.1318006 Муфта вязкостная ТМЗ, 660 мм, 9 лопастей (VEXTON);1
8481.1318008-20 Привод вентилятора;1
8481.1318008-30 Привод вентилятора;2
8481.1318176 Шкив привода;2
8481.1318176-21 Шкив (ТМЗ);2
8481.3509001 Комплект для установки компрессора LP3999;
8481.3509002 Комплект для установки компрессора LK8934;
8481.3509240-10 Трубка подвода воздуха;2
8481.3509240-22 Трубка подвода воздуха (Уфа);10
8481.3509260 Трубка;7
8481.3509278-10 Трубка;4
8481.3509278-20 Трубка;15
8481.3509280-10 Трубка отвода воды;13
8481.3509280-20 Трубка отвода воды;17
8481.3509303 Штуцер;
8481.3509303-10 Штуцер;31
8481.3509304 Штуцер;5
8481.3701780-11 Палец крепления генератора;3
8481.3701790-11 Планка генератора;1
8481.3708005-07 Стартер 24В, дв. ТМЗ (M105R3537SE-VPP, Prestolite Electric);2
8481.8111700 Комплект установки компрессора кондиционера;1
8481.8111770-10 Кронштейн;3
8481.8111794 Ось;1
8481.8111798 Проставка;1
8483.1005061-20 Шкив;2
8483.1012015-02 Корпус фильтра;
8483.1308012-02 Крыльчатка муфты YM/VC-8481-F2 (813 mm);
8483.1308653-01 Фланец привода;2
8483.1318006-04 Муфта вязкостная с крыльчаткой в сб. YM/VC-8481-V4 (813 mm);
8483.1318176 Шкив привода вентилятора;
8483.3724180-02 Жгут моторный АРТВ 453765.133;
8483.3724180-10 Жгут моторный АРТВ 453765.219;
8483.3724180-11 Жгут моторный АБИТ.23034.2100;
8484.1118208 Патрубок;
8486.1005061-12 Шкив;
8486.1005061-40 Шкив;1
8486.1008046-10 Труба (ТМЗ);
8486.1008354-10 Проставка;2
8486.1008355-10 Проставка;2
8486.1104369 Болт (кр. форс. АЗПИ);3
8486.1118220-10 Трубка подвода масла;1
8486.1118230-10 Трубка слива масла (ТМЗ);1
8486.1212050-10 Кронштейн рамы;2
8486.1212060 Болт крепления ГБЦ (275мм);
8486.1307010-13 Насос водяной (ТМЗ) (усил. подш., замена 8486.1307010-03);
8486.1307155 Натяжное устройство;1
8486.3701774-11 Кронштейн крепления генератора;2
8486.3701790 Планка генератора;2
849.1003264-01 Крышка головки цилиндра;3
849.1011240 Шестерня (ТМЗ);
849.3701715-20 Приспособление натяжное;
852.1011350 Труба;1
852.1170210 Корпус охладителя;
8522.1115032-01 Патрубок соединительный (ТМЗ);
85227.1108005 Привод рычага останова ТНВД;2
8525.3701774 Кронштейн генератора;1
8525.3701790 Планка генератора;1
8531.1005115 Маховик (ТМЗ);
8531.1601015-10 Картер сцепления (ТМЗ);
8802.1003701 Комплект головки цилинров с клапанами в сборе (чугун);
9.1191 Турбокомпрессор ТКР 100 (замена 8.8681, KG-100 (8.9826));1
LK8934 K068979 Компрессор (ТМЗ);1
LP3999 K012323N50 Компрессор (ТМЗ);4
LTS-104 Термопломба (индикатор перегрева) (LUZAR);5
LTS-90 Термонаклейка (индикатор перегрева) (LUZAR);1
R5790R ФГОТ RACOR (аналог) в сборе с подогревом+ подогр.колбы+датчик загр (R90P-D-MAX);2
S12-22/9C7-W1 Хомут NORMA (8.8405);82
S35-50/9C7-W1 Хомут TORRO (288707);1
S40-60/9C7-W1 Хомут TORRO (288708);
S50-70/9C7-W1 Хомут NORMA (8.8386);7
S70-90/12C7-W1 Хомут NORMA;8
А-02-035-00-00-00 Распылитель АЗПИ (форсунка 840.1112010-35);20
Датчик ATPS-576 давления наддувочного воздуха (ан. Bosch 281002576);10
Датчик CFTS-209 температуры охлаждающей жидкости (ан. Bosch 281002209);5
Датчик SSS-898 частоты вращения коленчатого вала (ан. Bosch 281002898);10
Датчик TPS-953 давления и температуры воздуха (ан. Bosch 281002953);10
К36-88-02 Турбокомпрессор (8.8715);1
Комплект колодок (ТМЗ);5
М230  Блок управления 123 02011 (ЕВРО-3 24V) АБИТ 8.9023;5
Подставка под двигатель ТМЗ;1
Ремень AVX10-913Lw Rubena (Чехия) аналог 8,5х8х913 зуб.;8
Ремень AVX13-1200 Rubena (Чехия) - аналог 11х10х1180 зуб.;5
Ремень TOYOPOWER A-1250 Lp;
Ремень TOYOPOWER AVX10x913 La зуб.;14
Ремень TOYOPOWER AVX10x950 La зуб.;2
Ремень TOYOPOWER AVX11x10х1180 зуб.;
Ремень TOYOPOWER AVX11x10х900 зуб.;
Ремень TOYOPOWER AVX13x925 La зуб.;6
Ремень TOYOPOWER AVX13х1180 зуб.;7
Ремень TOYOPOWER AVX14x13х1320 зуб.;21
Т6109  Фильтр топливный DIFA (аналог WDK 962/16);10
ТКР 100-05 Турбокомпрессор (ТУРБОТЕХНИКА, дв. ТМЗ, замена К36-86-01);2
ТКР 100-20 Турбокомпрессор (ТУРБОТЕХНИКА, дв. ТМЗ, замена К36-91-01);
Торцевое уплотнение YM/FB-3/4;20
ТС107-1306100-02 Термостат (ПРАМО/ЭЛТРА);9
8481.8111790 Болт натяжной компрессора кондиционера;
8486.1118260-10 Прокладка ТКР;6
РТ 486460 Манжета 93х62х12х16;
841.1303163 Прокладка;9
841.1002265 Прокладка передней крышки блока;2
8424.1118048 Рукав соединительный;7
