Номенклатура;Остатки
310470-П2 (Р) Шпилька крепления оси коромысла М12х55 (ГБЦ);1
310470-П2 Шпилька крепления оси коромысла М12х55 (ГБЦ);25
310471-П2 Шпилька крепления скобы форсунки (ГБЦ);16
311449-П29 Гайка М39х2-6Н;8
311526-П2 Гайка винта коромысла;112
311815-П29 Гайка М48х1,5;11
311901-П2 Гайка М10х1,25 крепления скобы форсунки;24
311905-П2 Гайка оси коромысла М12х1,25 (ТМЗ);
311906-П Гайка М22х1,5-4Н5Н.1;20
311912-П2 Гайка оси коромысла М12Х125-6Н (ЯМЗ);5
312300-П2 Шайба 10,5;8
312316-П29 Шайба 25;5
312326-П34 Шайба 14,2;71
312332-П2 Шайба 40;10
312355-П29 Шайба;36
312471-П Шайба форсунки (9,3 мм) А;48
312473-П Шайба 27;61
312482-П34 Шайба;85
312502-П29 Шайба 12;
312570-П29 Шайба стопорная (ТМЗ);20
312570-П29 Шайба стопорная 48,5 (ТМЗ);
312630-П Прокладка 20х24х1,5 (медь);5
312638-П Шайба 8;
312692-П Шайба;6
312693-П29 Шайба 16;53
312695-П15 Шайба (скобы форс.);45
312766-П Прокладка (шайба) 22х28х1,5;6
313407-П29 Штифт 10х25 (в блок);10
313410-П2 Штифт 12х25 (в блок);5
313465-П Штифт 10х40;3
313997-П Заглушка 30 (ГБЦ);13
314132-П2 Шпонка 8х7х32;23
314510-П Угольник компрессора;6
3152.3771-50 Генератор ТМЗ 28В 80А (аналог 4001.3771-42);
315466-П29 Кляммер 12 (ЭФУ);3
316106-П29 Пробка (ТМЗ);30
316109-П29 Пробка М27х1,5-6Н;5
316121-П29 Пробка К 1/4 (ГБЦ);32
316135-П2 Пробка К3/8;
316144-П2 Пробка М20х1,5х6g;5
316176-П2 Пробка;31
316188-П2 Пробка;20
316198-П29 Пробка КГ1/4;1
316600-П29 Ввертыш М8-6Н-М14-3nх20;2
316603-П29 Ввертыш М10-1-6Н-М16х1,5-6gх20,5 (ГБЦ);13
316610-П29 Ввертыш;12
316612-П29 Ввертыш М8-6Н-М14-6gх21 (ГБЦ);38
316613-П29 Ввертыш М10х1,5-6Н-М16х1,5-6gх26 (ГБЦ);8
316615-П29 Ввертыш М16х1,5-6Н-М24х2-6gх18;11
316620-П29 Ввертыш М10х1,25-6Н-М16х1,5-3nх18;10
316622-П29 Ввертыш М14х1,5-6Н-М24х2-6gx18;3
316627-П Ввертыш М10-6Н-М16х1,5-6gх26 (ГБЦ);36
316628-П29 Ввертыш М8-6Н-М14-6gх26 (ГБЦ);49
316632-П29 Ввертыш;3
33.1112110-220 Распылитель (ЯЗДА);7
36.3855-22 Датчик положения исполнительного механизма (2112-1148200-06);4
3902-3829000 Датчик давления масла;5
44.1106010-01 Насос топливоподкачивающий (ЯЗДА);1
45 2453 4964 Подшипник 97506;3
45 7374 8689 Клапан электромагнитный КЭМ 32-23М1;
45 7375 5044 СВЕЧА ФАКЕЛЬНАЯ 1112.3740 (ЯМЗ);10
45 9328 1097 Болт М10х1,25;20
45 9348 6561 Болт М10-6Gх30;24
45 9824 6265 Шпонка распредвала 25х5х10;16
45 9824 6266 Шпонка 6х9;10
45 9824 6270 Шпонка коленвала;7
4512.3771-20 Генератор 28В, 110А;1
53205-3509322 Кольцо уплотнительное п/компрессора (силикон);97
5340.1005161 Манжета коленвала 100х125х11;3
5340.1012075-04 (658.1012075) (8.9191) Элемент масляного фильтра (ЯМЗ);3
5340.1814170-11 Ремень;1
5341.1012075-01 Фильтр сменный для масла;2
5347.3509253 Кольцо уплотнительное 019-023-25 (силикон, зел.);87
5347.3509253 Кольцо уплотнительное 019-023-25 (фтор);4
536.1112303-20 Рампа (ЯМЗ, пр-во COMMON RAIL);1
536.1115288 Кольцо уплотнительное 067-075-46 сил.зел.;2
536.1118562 Патрубок всасывающий;1
536.1308011-20 Привод вентилятора;1
6-206 Подшипник;1
64227-1203020 Прокладка ТКР (облицовка);20
658.1012075  М5103 Фильтр масляный DIFA (5340.1012075);8
658.1012075 Элемент масляного фильтра (ан. М5103, W11102) (КИТАЙ);
7.1005 Угольник (фитинг 9502 8-М12х1,5C-FVMQ) CAMOZZI;
740.1007262-01 Манжета впускного клапана в сборе;40
740.1007262-01 Манжета впускного клапана в сборе (СТРОЙМАШ, зеленая);93
740.1318166 Манжета 100х125х12  (840.1005034 беспружинная, фтор.);7
740.60-1003016 Болт ГБЦ ТМЗ (чугун);48
7405.1005160-01 Манжета 2,2-105х130х12;1
7511.1029002-02 Установка привода ТНВД;1
